ALN193;0.318;216.8
ALN533;0.331;219.8
TC60;0.569;249.5
ALN258;0.423;168.2
ALN147;0.284;195.2
ALN147;0.284;195.2
ALN193;0.318;216.8
ALN258;0.423;168.2
TC60;0.569;249.5
TC37;0.497;229.4
ALN580;0.585;332.7
TC1134;0;0
ALN147;0.284;195.2
ALN193;0.318;216.8
TC1134;0;0
ALN144;0.347;231.9
ALN193;0.318;216.8
ALN258;0.423;168.2
ALN349;0.33;223.6
ALN533;0.331;219.8
ALN534;0.218;147.2
ALN580;0.585;332.7
TC1135;0.48;274
TC1135;0.48;274
TC35;0.824;285.8
TC37;0.497;229.4
TC41;0.247;176.4
TC37;0.497;229.4
ALN258;0.423;168.2
ALN144;0.347;231.9
ALN580;0.585;332.7
ALN580;0.585;332.7
ALN700;1.063;432
ALN702;0.95;417
TC24;0.88;298.3
TC24;0.88;298.3
TC24;0.88;298.3
TC49;1.296;445
ALN840;0.639;306.9
ALN1731;1.131;520
ALN1729;1.481;518.3
ALN702;0.95;417
TC24;0.88;298.3
ALN775;1.111;394.2
ALN702;0.95;417
ALN775;1.111;394.2
ALN775;1.111;394.2
ALN700;1.063;432
ALN701;1.258;415
ALN775;1.111;394.2
ALN775;1.111;394.2
ALN700;1.063;432
TC49;1.296;445
ALN775;1.111;394.2
ALN775;1.111;394.2
ALN704;1.327;299.1
ALN1730;1.441;596.6
ALN1730;1.441;596.6
ALN703;1.139;549.7
ALN1731;1.131;520
ALN702;0.95;417
ALN702;0.95;417
ALN1729;1.481;518.3
ALN1730;1.441;596.6
ALN1729;1.481;518.3
ALN1731;1.131;520
ALN702;0.95;417
ALN1731;1.131;520
ALN840;0.639;306.9
ALN1730;1.441;596.6
ALN1731;1.131;520
ALN1730;1.441;596.6
TC49;1.296;445
ALN700;1.063;432
ALN775;1.111;394.2
ALN1731;1.131;520
ALN1730;1.441;596.6
ALN1730;1.441;596.6
ALN1729;1.481;518.3
ALN840;0.639;306.9
ALN1729;1.481;518.3
ALN700;1.063;432
ALN1729;1.481;518.3
ALN1730;1.441;596.6
ALN705;1.48;363.3
ALN702;0.95;417
ALN700;1.063;432
ALN702;0.95;417
ALN702;0.95;417
TC24;0.88;298.3
TC24;0.88;298.3
TC24;0.88;298.3
TC49;1.296;445
TC24;0.88;298.3
ALN840;0.639;306.9
ALN1730;1.441;596.6
ALN1729;1.481;518.3
ALN754;0.356;222
TC01;0.941;359.1
ALN389M;0.325;220.6
TC26;0.55;327
ALN1821;0.586;221
ALN388D;0;0
ALN391D;0;0
ALN755D;0.416;0
ALN392;0.368;258
ALN388;0.459;178
ALN391;0.468;187.8
ALN393;0.405;259.03
ALN755;0.52;278.5
TC1138;1.285;388.8
TC1138;1.285;388.8
TC1138;1.285;388.8
ANL390;0;0
ALN755;0.52;278.5
ALN388;0.459;178
ALN389M;0.325;220.6
ALN392;0.368;258
ALN393;0.405;259.03
ALN387;0.457;245.3
ALN1821;0.586;221
ALN387;0.457;245.3
TC26;0.55;327
TC32;0.868;348.3
TC31;0.706;274.1
TC29;1.383;496.6
TC31;0.706;274.1
TC32;0.868;348.3
TC29;1.383;496.6
TC31;0.706;274.1
TC29;1.383;496.6
TC31;0.706;274.1
TC32;0.868;348.3
TC31;0.706;274.1
TC29;1.383;496.6
TC29;1.383;496.6
TC32;0.868;348.3
TC30;0.731;464.7
TC32;0.868;348.3
TC29;1.383;496.6
TC32;0.868;348.3
TC31;0.706;274.1
TC31;0.706;274.1
TC29;1.383;496.6
TC29;1.383;496.6
TC29;1.383;496.6
TC29;1.383;496.6
TC31;0.706;274.1
TC30;0.731;464.7
TC30;0.731;464.7
TC30;0.731;464.7
TC31;0.706;274.1
TC32;0.868;348.3
ALN174;0.376;236
ALN222;0n153;87
ALN616;0.564;338.3
ALN839;0.171;126.79
ALN174;0.376;236
ALN176;0.534;234
ALN395M;0.204;150.82
ALN395M;0.204;150.82
ALN395M;0.204;150.82
ALN616;0.564;338.3
ALN416;0.5;181
ALN416;0.5;181
ALN395M;0.204;150.82
ALN395M;0.204;150.82
TMP010;1.392;342.31
TSD5000-01;2.055;0
TSD5000-02;2.257;0
TSD5000-03;1.647;0
TSD5000-03A;1.768;0
TSD5000-04;1.789;0
TSD5000-05;3084;0
TSD5000-06;1.409;0
TSD5000-07;1.464;0
TSD5000-08;1.553;0
TSD5000-09;0.357;0
TSD5000-10;1.061;0
TSD5000-11;0.164;0
TSD5000-12;0.871;0
TSD5000-13;1.761;0
TSD5000-14;0.625;0
TSD5000-15;1.683;0
TSD5000-16;0.238;0
TSD5000-17;0.45;0
ALN190;0.62;229
ALN1764;0.704;260
TC1138;1.285;388.8
TC1139;0.524;350.6
TEM3835-12;0.219;160.52
TMP024;0.655;385.49
TMP023;0.262;173.43
1940;0;
1968;0;
T281;2;292
SILICONA ESTRUCTURAL DC-995;0;0
26018;0;0
TA182;1.086;291
ALN175;0.276;163
ALN315;0.245;156
ALN175;0.276;163
ALN708;0.814;429
TC1140;0.647;333.9
TC28;0.077;58.2
S344;0.113;71
S343;0.207;128
ALN755;0.416;244
TEM004;0.243;168.6
TEM394;0.188;139.99
TEM4122-01;1.875;396.44
